N1	R1	N2	R2	N3	R3
1	46.40	1	23.40	1	43.40
2	37.20	2	53.20	2	32.00
3	44.20	3	57.50	3	41.20
4	61.00	4	58.40	4	52.80
5	43.80	5	46.20	5	38.60
6	54.20	6	63.60	6	58.40
7	55.60	7	58.40	7	48.80
8	43.20	8	42.00	8	44.50
9	33.67	9	34.00	9	42.50
10	52.80	10	49.25	10	55.80
11	68.60	11	58.00	11	54.80
12	57.60	12	56.00	12	56.80
13	39.20	13	36.40	13	43.60
14	56.25	14	69.40	14	49.00
15	61.60	15	51.40	15	43.20
16	59.60	16	68.67	16	60.80
17	42.50	17	35.75	17	39.75
18	33.00	18	46.20	18	52.00
19	51.00	19	35.50	19	40.60
20	29.00	20	34.50	20	40.25
21	48.25	21	55.60	21	55.00
22	45.60	22	58.80	22	55.00
23	52.60	23	51.60	23	54.20
24	54.00	24	52.80	24	48.60
25	60.40	25	57.25	25	69.20
26	37.00	26	40.20	26	35.80
27	27.20	27	42.60	27	29.25
28	46.60	28	44.60	28	41.50
30	39.00	30	53.75	30	33.00
31	31.40	31	23.00	31	32.40
32	36.60	32	30.00	32	44.67
33	58.80	33	45.75	33	42.50
34	39.80	34	51.60	34	37.33
35	48.60	35	43.25	35	27.20
36	49.20	36	40.40	36	31.60
37	54.20	37	41.60	37	47.20
38	55.00	38	54.80	38	50.00
39	41.40	39	47.80	39	62.60
40	36.60	40	44.20	40	37.40
41	38.60	41	53.40	41	44.20
42	25.60	42	24.00	42	27.00
43	44.20	43	46.00	43	43.00
44	47.60	44	45.80	44	52.20
45	52.40	45	41.80	45	45.40
46	46.00	46	41.60	46	45.40
47	44.40	47	45.20	47	38.20
48	63.00	48	54.60	48	57.60
49	59.00	49	54.40	49	55.60
50	65.25	50	49.60	50	53.40
51	37.80	51	46.60	51	35.20
52	56.60	52	55.00	52	46.40
53	47.40	53	45.25	53	62.00
54	41.80	54	47.50	54	49.80
55	28.20	55	55.50	55	47.00
56	39.40	56	43.25	56	48.20
57	32.60	57	28.00	57	52.50
59	53.80	58	37.00	58	39.20
60	48.20	59	59.60	59	59.20
61	49.80	60	44.60	60	36.80
62	32.40	61	51.80	61	50.20
63	56.20	62	42.80	62	42.00
64	36.00	63	50.50	63	56.00
65	53.20	64	41.00	64	45.40
66	66.00	65	54.40	65	52.80
67	55.00	66	49.40	66	44.20
68	39.40	67	56.40	67	60.50
69	57.80	68	40.00	68	19.00
70	47.80	69	57.20	69	59.20
71	23.75	70	49.80	70	53.25
72	27.00	71	29.50	71	18.00
73	44.80	72	39.60	72	35.40
74	39.60	73	41.80	73	29.00
75	31.40	74	44.60	74	47.00
76	73.00	75	19.75	75	26.00
77	38.20	76	57.40	76	59.20
78	39.25	77	42.20	77	41.00
79	51.40	78	47.40	78	53.80
80	46.20	79	60.40	79	51.50
81	58.00	80	45.00	80	59.50
82	45.20	81	61.00	81	39.25
83	49.40	82	39.50	82	41.25
85	38.20	83	46.00	83	31.80
86	57.20	85	43.00	85	42.60
87	57.60	86	49.20	86	37.00
88	46.00	87	58.40	87	35.75
89	45.60	88	38.80	88	26.67
90	39.80	89	45.60	89	35.60
91	40.60	90	50.20	90	36.25
92	22.75	91	36.50	91	52.00
93	53.20	92	20.20	92	18.00
94	45.40	93	53.20	93	51.00
95	60.80	94	41.80	94	46.00
96	48.20	95	48.20	95	44.40
97	55.00	96	47.80	96	46.40
98	58.60	97	47.20	97	46.60
99	37.67	98	49.40	98	49.80
100	65.20	99	41.50	99	49.75
101	51.80	100	51.20	100	42.60
102	45.20	101	51.20	101	46.80
103	67.80	102	46.00	102	35.40
104	50.20	103	58.20	103	63.40
105	26.80	104	46.50	104	48.60
106	61.80	105	26.60	105	23.00
107	39.20	106	51.40	106	41.25
109	54.40	107	38.75	107	40.00
110	47.60	109	38.00	109	32.80
111	60.80	110	39.40	110	36.20
112	38.80	111	63.20	111	65.20
113	61.80	112	36.75	112	39.00
114	25.00	113	45.80	113	48.80
115	57.40	114	38.60	114	31.75
116	61.00	115	39.00	115	26.00
117	58.20	116	54.20	116	58.00
118	71.80	117	42.40	117	42.20
119	58.60	118	64.60	118	45.00
120	52.60	119	58.20	119	41.40
121	48.20	120	53.80	120	49.00
122	68.20	121	58.40	121	48.80
123	58.60	122	59.00	122	51.40
124	69.40	123	56.40	123	51.20
125	63.80	124	59.40	124	43.40
126	53.50	125	61.20	125	40.00
